icon-naming-utils 0.8.90-5
icoutils 0.32.3-3
icu 71.1-1
id3lib 3.8.3-18
ijs 0.35-4
imagemagick 7.1.0.51-1
imath 3.1.5-3
imlib2 1.9.1-2
incidenceeditor 22.08.2-1
inetutils 2.3-1
iniparser 4.1-4
inkscape 1.2.1-8
innoextract 1.9-7
intellij-idea-ultimate-edition 2022.2.3-1
intellij-idea-ultimate-edition-jre 2022.2.3-1
intltool 0.51.0-6
iproute2 6.0.0-1
iptables-nft 1:1.8.8-2
iputils 20211215-1
ipython 8.5.0-1
iso-codes 4.11.0-2
itinerary 22.08.2-1
itstool 1:2.0.7-1
iw 5.19-1
jack_capture 0.9.73-8
jack_delay 0.4.2-1
jack_mixer 17-2
jack_utils 0.0.1-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-hamcrest 1.3-5
java-openjfx 18.0.2.u2-1
java-runtime-common 3-3
java11-openjfx 11.0.16.u2-1
java8-openjfx 8.u202-4
jbig2dec 0.19-1
jbigkit 2.1-6
jdk17-dragonwell-bin 17.0.3.0.3-2
jdk8-graalvm-bin 21.2.0-2
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
jre11-openjdk-headless 11.0.16.1.u1-2
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jstest-gtk-git 0.1.0.r120.g8e84777-1
juk 22.08.2-1
junit 4.13.2-1
jxrlib 0.2.4-1
k3b 1:22.08.2-1
kaccounts-integration 22.08.2-1
kaccounts-providers 22.08.2-1
kactivities 5.99.0-1
kactivities-stats 5.99.0-1
kactivitymanagerd 5.26.0-1
kaddressbook 22.08.2-1
kajongg 22.08.2-1
kalarm 22.08.2-1
kalgebra 22.08.2-1
kalzium 22.08.2-1
kamera 22.08.2-1
kamoso 22.08.2-1
kanagram 22.08.2-1
kapman 22.08.2-1
kapptemplate 22.08.2-1
karchive 5.99.0-1
kate 22.08.2-1
katomic 22.08.2-1
kauth 5.99.0-1
kbackup 22.08.2-1
kbd 2.5.1-1
kblackbox 22.08.2-1
kblocks 22.08.2-1
kbookmarks 5.99.0-1
kbounce 22.08.2-1
kbreakout 22.08.2-1
kbruch 22.08.2-1
kcachegrind 22.08.2-1
kcachegrind-common 22.08.2-1
kcalc 22.08.2-1
kcalendarcore 5.99.0-1
kcalutils 22.08.2-1
kcharselect 22.08.2-1
kcm-colorful-git 1.0.5.r0.g411e8c9-1
kcmutils 5.99.0-2
kcodecs 5.99.0-1
kcolorchooser 22.08.2-1
